"","Odd.Ratio","X95..CI.2.5..","X95..CI.97.5..","P.value"
"(Intercept)",0.812304892826348,0.601586165820265,1.09447787077778,0.173248181895785
"DRMTCAFF",1.00069559663167,1.00041594234239,1.00096929228194,7.97125875810399e-07
"RIDAGEYR",0.989048034594625,0.985888772953819,0.992204266629688,1.36798151319411e-11
"GENDRM",0.513217177359612,0.456214068027714,0.576850318151765,7.4138074695254e-29
"RIDRETH1",1.09081096156463,1.03460441178825,1.15017417609667,0.00129084944174014
"INDF",1.00097762663915,0.991651337099641,1.01011958070863,0.836239531972176
"INDH",0.99807887774869,0.988759181058442,1.00741326095475,0.688117758021819
"DMDEDUC2",0.716739248254444,0.683747728657587,0.751110396911699,6.74362569966111e-44
"SMQ020",0.559001433848954,0.494662288324361,0.631256106248292,8.63903152175151e-21
"PAQBIN",0.695655661402148,0.61948012110411,0.78064093763145,7.59773189609937e-10
"ALQBIN",0.980306605136309,0.828412593796281,1.16432593630543,0.818749763497248
